2013-11-28 19:42:24 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-28 19:42:28 - ::1 - provera_logovanja - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-28 19:42:33 - ::1 - prikaz_usluga - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-28 19:42:36 - ::1 - forma_unos_usluge - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-28 19:42:38 - ::1 - editovanje_usluga - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:31:39 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:31:43 - ::1 - provera_logovanja - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:31:47 - ::1 - prikaz_fizicko - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:31:51 - ::1 - radni_nalog_unos_fizicko - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:31:57 - ::1 - unos_radninalog_klijent - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:32:12 - ::1 - radni_nalog_unos_fizicko - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:34:07 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:34:11 - ::1 - prikaz_prvano - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:34:16 - ::1 - radni_nalog_unos_pravno - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:34:20 - ::1 - unos_radninalog_klijent - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:34:26 - ::1 - prikaz_prvano - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:35:55 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:35:58 - ::1 - prikaz_radni_nalog - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:36:02 - ::1 - prikaz_fizicko - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:36:04 - ::1 - radni_nalog_unos_fizicko - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:36:07 - ::1 - unos_radninalog_klijent - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:36:21 - ::1 - radni_nalog_unos_fizicko - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:36:28 - ::1 - unos_radninalog_klijent - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:37:39 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:37:46 - ::1 - prikaz_fizicko - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:37:49 - ::1 - radni_nalog_unos_fizicko - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:38:07 - ::1 - unos_radninalog_klijent - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:38:08 - ::1 - prikaz_radni_nalog - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:38:12 - ::1 - pdf_stampanje - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:38:16 - ::1 - prikaz_radni_nalog - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:38:19 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:47:41 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:47:43 - ::1 - editovanje_usluga - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 13:47:45 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 14:54:42 - ::1 - prikaz_usluga - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-29 14:54:45 - ::1 - prikaz_radni_nalog - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-30 13:07:19 - ::1 - prva_strana - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-30 13:07:31 - ::1 - provera_logovanja - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
2013-11-30 13:07:42 - ::1 - editovanje_usluga - Mozilla/5.0 (Windows NT 6.2; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0 - Lenovo
